

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.018  000.018: --- VIM STARTING ---
000.249  000.231: Allocated generic buffers
001.212  000.963: locale set
001.228  000.016: window checked
002.159  000.931: inits 1
002.222  000.063: parsing arguments
002.226  000.004: expanding arguments
002.307  000.081: shell init
003.072  000.765: Termcap init
003.129  000.057: inits 2
003.523  000.394: init highlight
007.607  002.703  002.703: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
007.956  003.278  000.575: sourcing /usr/share/vim/vim80/syntax/synload.vim
032.695  000.154  000.154: sourcing /usr/share/vim/vimfiles/ftdetect/nginx.vim
033.023  024.900  024.746: sourcing /usr/share/vim/vim80/filetype.vim
033.169  028.711  000.533: sourcing /usr/share/vim/vim80/syntax/syntax.vim
033.373  000.051  000.051: sourcing /usr/share/vim/vim80/filetype.vim
033.657  000.130  000.130: sourcing /usr/share/vim/vim80/ftplugin.vim
033.831  030.201  001.309: sourcing /etc/vimrc
035.007  000.233  000.233: sourcing /root/.vimrc.before
036.737  000.688  000.688: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
038.698  001.718  001.718: sourcing /usr/share/vim/vim80/ftoff.vim
040.674  000.793  000.793: sourcing /root/.vim/bundle/vundle/autoload/vundle.vim
041.450  000.532  000.532: sourcing /root/.vim/bundle/vundle/autoload/vundle/config.vim
278.440  243.266  239.535: sourcing /root/.vimrc.bundles
280.837  000.701  000.701: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
304.726  000.065  000.065: sourcing /root/.vim/bundle/vim-fugitive/ftdetect/fugitive.vim
305.206  000.089  000.089: sourcing /root/.vim/bundle/neosnippet/ftdetect/neosnippet.vim
305.572  000.078  000.078: sourcing /root/.vim/bundle/vim-twig/ftdetect/twig.vim
306.014  000.150  000.150: sourcing /root/.vim/bundle/vim-json/ftdetect/json.vim
306.265  000.062  000.062: sourcing /root/.vim/bundle/vim-less/ftdetect/less.vim
306.517  000.052  000.052: sourcing /root/.vim/bundle/vim-javascript/ftdetect/flow.vim
306.734  000.137  000.137: sourcing /root/.vim/bundle/vim-javascript/ftdetect/javascript.vim
307.084  000.129  000.129: sourcing /root/.vim/bundle/vim-jst/ftdetect/jst.vim
307.460  000.161  000.161: sourcing /root/.vim/bundle/vim-coffee-script/ftdetect/coffee.vim
307.631  000.083  000.083: sourcing /root/.vim/bundle/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
308.013  000.108  000.108: sourcing /root/.vim/bundle/vim-haml/ftdetect/haml.vim
308.399  000.142  000.142: sourcing /root/.vim/bundle/rust.vim/ftdetect/rust.vim
308.674  000.099  000.099: sourcing /root/.vim/bundle/vim-markdown/ftdetect/markdown.vim
308.953  000.065  000.065: sourcing /root/.vim/bundle/vim-cucumber/ftdetect/cucumber.vim
309.245  000.132  000.132: sourcing /root/.vim/bundle/vim-toml/ftdetect/toml.vim
309.550  000.090  000.090: sourcing /root/.vim/bundle/salt-vim/ftdetect/sls.vim
309.845  000.117  000.117: sourcing /usr/share/vim/vimfiles/ftdetect/nginx.vim
312.392  028.974  027.215: sourcing /usr/share/vim/vim80/filetype.vim
314.837  000.051  000.051: sourcing /usr/share/vim/vim80/ftplugin.vim
317.334  000.136  000.136: sourcing /usr/share/vim/vim80/indent.vim
319.483  000.742  000.742: sourcing /usr/share/vim/vim80/syntax/nosyntax.vim
322.994  000.706  000.706: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
324.632  003.757  003.051: sourcing /usr/share/vim/vim80/syntax/synload.vim
324.740  006.159  001.660: sourcing /usr/share/vim/vim80/syntax/syntax.vim
357.772  000.714  000.714: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
361.357  000.696  000.696: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
372.020  018.689  017.279: sourcing /root/.vim/bundle/vim-colors-solarized/colors/solarized.vim
403.340  001.227  001.227: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
408.243  001.155  001.155: sourcing /usr/share/vim/vim80/syntax/syncolor.vim
418.508  020.657  018.275: sourcing /root/.vim/bundle/vim-colors-solarized/colors/solarized.vim
422.542  000.084  000.084: sourcing /root/.vimrc.local
422.610  388.665  069.715: sourcing $HOME/.vimrc
422.679  000.290: sourcing vimrc file(s)
423.937  000.661  000.661: sourcing /root/.vim/bundle/tlib_vim/plugin/02tlib.vim
426.696  000.605  000.605: sourcing /root/.vim/bundle/nerdtree/autoload/nerdtree.vim
431.837  001.736  001.736: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/path.vim
432.512  000.471  000.471: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
432.981  000.263  000.263: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/menu_item.vim
433.555  000.368  000.368: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/key_map.vim
434.634  000.875  000.875: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/bookmark.vim
435.806  000.972  000.972: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/tree_file_node.vim
437.444  001.443  001.443: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/tree_dir_node.vim
438.271  000.630  000.630: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/opener.vim
439.296  000.826  000.826: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/creator.vim
439.665  000.172  000.172: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/flag_set.vim
440.382  000.512  000.512: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/nerdtree.vim
441.706  001.087  001.087: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/ui.vim
442.004  000.101  000.101: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/event.vim
442.348  000.144  000.144: sourcing /root/.vim/bundle/nerdtree/lib/nerdtree/notifier.vim
444.181  001.628  001.628: sourcing /root/.vim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
457.120  000.361  000.361: sourcing /root/.vim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
459.941  002.712  002.712: sourcing /root/.vim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
460.226  000.199  000.199: sourcing /root/.vim/bundle/nerdtree/nerdtree_plugin/vcs.vim
463.832  002.577  002.577: sourcing /root/.vim/bundle/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
469.910  045.646  027.964: sourcing /root/.vim/bundle/nerdtree/plugin/NERD_tree.vim
472.421  002.062  002.062: sourcing /root/.vim/bundle/vim-surround/plugin/surround.vim
474.484  001.707  001.707: sourcing /root/.vim/bundle/conflict-marker.vim/plugin/conflict_marker.vim
476.550  001.738  001.738: sourcing /root/.vim/bundle/auto-pairs/plugin/auto-pairs.vim
478.627  000.813  000.813: sourcing /root/.vim/bundle/ctrlp.vim/autoload/ctrlp/mrufiles.vim
479.442  002.543  001.730: sourcing /root/.vim/bundle/ctrlp.vim/plugin/ctrlp.vim
479.938  000.173  000.173: sourcing /root/.vim/bundle/ctrlp-funky/plugin/funky.vim
482.378  002.137  002.137: sourcing /root/.vim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
483.787  001.122  001.122: sourcing /root/.vim/bundle/sessionman.vim/plugin/sessionman.vim
485.916  001.832  001.832: sourcing /root/.vim/bundle/matchit.zip/plugin/matchit.vim
487.900  000.342  000.342: sourcing /root/.vim/bundle/vim-airline/autoload/airline/init.vim
489.856  000.332  000.332: sourcing /root/.vim/bundle/vim-airline/autoload/airline/parts.vim
495.767  000.683  000.683: sourcing /root/.vim/bundle/vim-airline/autoload/airline/util.vim
496.111  009.826  008.469: sourcing /root/.vim/bundle/vim-airline/plugin/airline.vim
